Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Homens;2010;Arma branca ou objeto contundente;9784;10.27;10.18
BR;Brasil;Homens;2010;Estrangulamento;492;0.52;0.5
BR;Brasil;Homens;2010;Força corporal;547;0.57;0.59
BR;Brasil;Homens;2010;Demais meios especificados;675;0.71;0.71
BR;Brasil;Homens;2010;Meios não especificados;1675;1.76;1.71
BR;Brasil;Homens;2011;Arma de fogo;34442;35.91;33.25
BR;Brasil;Homens;2011;Arma branca ou objeto contundente;9924;10.35;10.22
BR;Brasil;Homens;2011;Estrangulamento;476;0.5;0.48
BR;Brasil;Homens;2011;Força corporal;488;0.51;0.52
BR;Brasil;Homens;2011;Demais meios especificados;720;0.75;0.75
BR;Brasil;Homens;2011;Meios não especificados;1569;1.64;1.6
BR;Brasil;Homens;2012;Arma de fogo;37715;39.02;36.1
BR;Brasil;Homens;2012;Arma branca ou objeto contundente;10418;10.78;10.57
BR;Brasil;Homens;2012;Estrangulamento;531;0.55;0.52
BR;Brasil;Homens;2012;Força corporal;572;0.59;0.61
BR;Brasil;Homens;2012;Demais meios especificados;721;0.75;0.74
BR;Brasil;Homens;2012;Meios não especificados;1587;1.64;1.55
BR;Brasil;Homens;2013;Arma de fogo;38007;39.02;36.2
BR;Brasil;Homens;2013;Arma branca ou objeto contundente;10380;10.66;10.44
BR;Brasil;Homens;2013;Estrangulamento;577;0.59;0.55
BR;Brasil;Homens;2013;Força corporal;595;0.61;0.62
BR;Brasil;Homens;2013;Demais meios especificados;712;0.73;0.7
BR;Brasil;Homens;2013;Meios não especificados;1666;1.71;1.6
BR;Brasil;Homens;2014;Arma de fogo;40329;41.09;38.21
BR;Brasil;Homens;2014;Arma branca ou objeto contundente;10493;10.69;10.5
BR;Brasil;Homens;2014;Estrangulamento;528;0.54;0.52
BR;Brasil;Homens;2014;Força corporal;664;0.68;0.68
BR;Brasil;Homens;2014;Demais meios especificados;662;0.67;0.63
BR;Brasil;Homens;2014;Meios não especificados;2060;2.1;1.98
BR;Brasil;Homens;2015;Arma de fogo;39500;39.93;37.44
BR;Brasil;Homens;2015;Arma branca ou objeto contundente;10060;10.17;10.02
BR;Brasil;Homens;2015;Estrangulamento;528;0.53;0.51
BR;Brasil;Homens;2015;Força corporal;732;0.74;0.76
BR;Brasil;Homens;2015;Demais meios especificados;598;0.6;0.59
BR;Brasil;Homens;2015;Meios não especificados;2006;2.03;1.89
BR;Brasil;Homens;2016;Arma de fogo;42102;42.26;39.78
BR;Brasil;Homens;2016;Arma branca ou objeto contundente;10493;10.53;10.32
BR;Brasil;Homens;2016;Estrangulamento;525;0.53;0.52
BR;Brasil;Homens;2016;Força corporal;868;0.87;0.88
BR;Brasil;Homens;2016;Demais meios especificados;690;0.69;0.64
BR;Brasil;Homens;2016;Meios não especificados;1731;1.74;1.62
BR;Brasil;Homens;2017;Arma de fogo;44828;44.71;42.25
BR;Brasil;Homens;2017;Arma branca ou objeto contundente;10188;10.16;9.94
BR;Brasil;Homens;2017;Estrangulamento;588;0.59;0.57
BR;Brasil;Homens;2017;Força corporal;807;0.8;0.81
BR;Brasil;Homens;2017;Demais meios especificados;653;0.65;0.6
BR;Brasil;Homens;2017;Meios não especificados;1649;1.64;1.54
BR;Brasil;Homens;2018;Arma de fogo;38808;38.46;36.62
BR;Brasil;Homens;2018;Arma branca ou objeto contundente;9122;9.04;8.92
BR;Brasil;Homens;2018;Estrangulamento;555;0.55;0.54
BR;Brasil;Homens;2018;Força corporal;774;0.77;0.78
BR;Brasil;Homens;2018;Demais meios especificados;579;0.57;0.52
BR;Brasil;Homens;2018;Meios não especificados;1433;1.42;1.31
BR;Brasil;Homens;2019;Arma de fogo;28982;28.54;27.39
BR;Brasil;Homens;2019;Arma branca ou objeto contundente;8362;8.23;8.11
BR;Brasil;Homens;2019;Estrangulamento;503;0.5;0.49
BR;Brasil;Homens;2019;Força corporal;696;0.69;0.69
BR;Brasil;Homens;2019;Demais meios especificados;502;0.49;0.48
BR;Brasil;Homens;2019;Meios não especificados;1186;1.17;1.09
BR;Brasil;Homens;2020;Arma de fogo;32043;31.37;30.28
BR;Brasil;Homens;2020;Arma branca ou objeto contundente;8359;8.18;8.04
BR;Brasil;Homens;2020;Estrangulamento;442;0.43;0.42
BR;Brasil;Homens;2020;Força corporal;781;0.76;0.76
BR;Brasil;Homens;2020;Demais meios especificados;415;0.41;0.37
BR;Brasil;Homens;2020;Meios não especificados;1702;1.67;1.58
BR;Brasil;Homens;2021;Arma de fogo;31104;30.33;29.47
BR;Brasil;Homens;2021;Arma branca ou objeto contundente;7710;7.52;7.4
BR;Brasil;Homens;2021;Estrangulamento;433;0.42;0.42
BR;Brasil;Homens;2021;Força corporal;809;0.79;0.79
BR;Brasil;Homens;2021;Demais meios especificados;432;0.42;0.4
BR;Brasil;Homens;2021;Meios não especificados;1156;1.13;1.09
BR;Brasil;Homens;2022;Arma de fogo;29790;28.96;28.26
BR;Brasil;Homens;2022;Arma branca ou objeto contundente;7821;7.6;7.49
BR;Brasil;Homens;2022;Estrangulamento;477;0.46;0.45
BR;Brasil;Homens;2022;Força corporal;868;0.84;0.84
BR;Brasil;Homens;2022;Demais meios especificados;430;0.42;0.41
BR;Brasil;Homens;2022;Meios não especificados;1118;1.09;1.05
BR;Brasil;Homens;2023;Arma de fogo;28831;27.92;27.47
BR;Brasil;Homens;2023;Arma branca ou objeto contundente;7606;7.37;7.28
BR;Brasil;Homens;2023;Estrangulamento;444;0.43;0.42
BR;Brasil;Homens;2023;Força corporal;918;0.89;0.88
BR;Brasil;Homens;2023;Demais meios especificados;392;0.38;0.36
BR;Brasil;Homens;2023;Meios não especificados;1268;1.23;1.17
BR;Brasil;Homens;2024;Arma de fogo;25712;24.8;24.59
BR;Brasil;Homens;2024;Arma branca ou objeto contundente;7357;7.1;7.01
BR;Brasil;Homens;2024;Estrangulamento;400;0.39;0.38
BR;Brasil;Homens;2024;Força corporal;1055;1.02;1
BR;Brasil;Homens;2024;Demais meios especificados;455;0.44;0.43
BR;Brasil;Homens;2024;Meios não especificados;1281;1.24;1.19
BR;Brasil;Homens;2025;Arma de fogo;21706;20.86;20.84
BR;Brasil;Homens;2025;Arma branca ou objeto contundente;6776;6.51;6.44
BR;Brasil;Homens;2025;Estrangulamento;353;0.34;0.34
BR;Brasil;Homens;2025;Força corporal;891;0.86;0.85
BR;Brasil;Homens;2025;Demais meios especificados;413;0.4;0.39
BR;Brasil;Homens;2025;Meios não especificados;908;0.87;0.86
BR;Brasil;Mulheres;2000;Arma de fogo;2029;2.28;2.21
BR;Brasil;Mulheres;2000;Arma branca ou objeto contundente;896;1.01;1.04
BR;Brasil;Mulheres;2000;Estrangulamento;174;0.2;0.19
BR;Brasil;Mulheres;2000;Força corporal;13;0.01;0.02
BR;Brasil;Mulheres;2000;Demais meios especificados;144;0.16;0.16
BR;Brasil;Mulheres;2000;Meios não especificados;487;0.55;0.54
BR;Brasil;Mulheres;2001;Arma de fogo;2082;2.31;2.2
BR;Brasil;Mulheres;2001;Arma branca ou objeto contundente;997;1.11;1.13
BR;Brasil;Mulheres;2001;Estrangulamento;185;0.21;0.2
BR;Brasil;Mulheres;2001;Força corporal;39;0.04;0.05
BR;Brasil;Mulheres;2001;Demais meios especificados;128;0.14;0.13
BR;Brasil;Mulheres;2001;Meios não especificados;420;0.47;0.47
BR;Brasil;Mulheres;2002;Arma de fogo;2053;2.25;2.12
BR;Brasil;Mulheres;2002;Arma branca ou objeto contundente;967;1.06;1.09
BR;Brasil;Mulheres;2002;Estrangulamento;204;0.22;0.21
BR;Brasil;Mulheres;2002;Força corporal;47;0.05;0.05
BR;Brasil;Mulheres;2002;Demais meios especificados;124;0.14;0.13
BR;Brasil;Mulheres;2002;Meios não especificados;472;0.52;0.49
BR;Brasil;Mulheres;2003;Arma de fogo;2112;2.28;2.14
BR;Brasil;Mulheres;2003;Arma branca ou objeto contundente;1017;1.1;1.13
BR;Brasil;Mulheres;2003;Estrangulamento;215;0.23;0.22
BR;Brasil;Mulheres;2003;Força corporal;52;0.06;0.06
BR;Brasil;Mulheres;2003;Demais meios especificados;114;0.12;0.11
BR;Brasil;Mulheres;2003;Meios não especificados;427;0.46;0.46
BR;Brasil;Mulheres;2004;Arma de fogo;2048;2.19;2.08
BR;Brasil;Mulheres;2004;Arma branca ou objeto contundente;1041;1.11;1.13
BR;Brasil;Mulheres;2004;Estrangulamento;228;0.24;0.24
BR;Brasil;Mulheres;2004;Força corporal;46;0.05;0.05
BR;Brasil;Mulheres;2004;Demais meios especificados;148;0.16;0.16
BR;Brasil;Mulheres;2004;Meios não especificados;319;0.34;0.34
BR;Brasil;Mulheres;2005;Arma de fogo;2017;2.13;2.03
BR;Brasil;Mulheres;2005;Arma branca ou objeto contundente;1144;1.21;1.23
BR;Brasil;Mulheres;2005;Estrangulamento;233;0.25;0.24
BR;Brasil;Mulheres;2005;Força corporal;48;0.05;0.05
BR;Brasil;Mulheres;2005;Demais meios especificados;146;0.15;0.15
BR;Brasil;Mulheres;2005;Meios não especificados;296;0.31;0.31
BR;Brasil;Mulheres;2006;Arma de fogo;2082;2.18;2.07
BR;Brasil;Mulheres;2006;Arma branca ou objeto contundente;1235;1.29;1.31
BR;Brasil;Mulheres;2006;Estrangulamento;225;0.24;0.23
BR;Brasil;Mulheres;2006;Força corporal;64;0.07;0.07
BR;Brasil;Mulheres;2006;Demais meios especificados;179;0.19;0.18
BR;Brasil;Mulheres;2006;Meios não especificados;237;0.25;0.25
BR;Brasil;Mulheres;2007;Arma de fogo;1987;2.05;1.93
BR;Brasil;Mulheres;2007;Arma branca ou objeto contundente;1192;1.23;1.24
BR;Brasil;Mulheres;2007;Estrangulamento;213;0.22;0.22
BR;Brasil;Mulheres;2007;Força corporal;51;0.05;0.05
BR;Brasil;Mulheres;2007;Demais meios especificados;151;0.16;0.15
BR;Brasil;Mulheres;2007;Meios não especificados;178;0.18;0.19
BR;Brasil;Mulheres;2008;Arma de fogo;2048;2.1;1.98
BR;Brasil;Mulheres;2008;Arma branca ou objeto contundente;1299;1.33;1.33
BR;Brasil;Mulheres;2008;Estrangulamento;247;0.25;0.24
BR;Brasil;Mulheres;2008;Força corporal;65;0.07;0.07
BR;Brasil;Mulheres;2008;Demais meios especificados;165;0.17;0.16
BR;Brasil;Mulheres;2008;Meios não especificados;199;0.2;0.2
BR;Brasil;Mulheres;2009;Arma de fogo;2191;2.22;2.1
BR;Brasil;Mulheres;2009;Arma branca ou objeto contundente;1381;1.4;1.4
BR;Brasil;Mulheres;2009;Estrangulamento;252;0.26;0.25
BR;Brasil;Mulheres;2009;Força corporal;63;0.06;0.07
BR;Brasil;Mulheres;2009;Demais meios especificados;149;0.15;0.15
BR;Brasil;Mulheres;2009;Meios não especificados;224;0.23;0.22
BR;Brasil;Mulheres;2010;Arma de fogo;2194;2.21;2.08
BR;Brasil;Mulheres;2010;Arma branca ou objeto contundente;1531;1.54;1.51
BR;Brasil;Mulheres;2010;Estrangulamento;253;0.25;0.24
BR;Brasil;Mulheres;2010;Força corporal;83;0.08;0.09
BR;Brasil;Mulheres;2010;Demais meios especificados;180;0.18;0.17
BR;Brasil;Mulheres;2010;Meios não especificados;224;0.23;0.22
BR;Brasil;Mulheres;2011;Arma de fogo;2258;2.25;2.14
BR;Brasil;Mulheres;2011;Arma branca ou objeto contundente;1529;1.53;1.49
BR;Brasil;Mulheres;2011;Estrangulamento;268;0.27;0.25
BR;Brasil;Mulheres;2011;Força corporal;67;0.07;0.07
BR;Brasil;Mulheres;2011;Demais meios especificados;166;0.17;0.16
BR;Brasil;Mulheres;2011;Meios não especificados;224;0.22;0.21
BR;Brasil;Mulheres;2012;Arma de fogo;2332;2.31;2.19
BR;Brasil;Mulheres;2012;Arma branca ou objeto contundente;1616;1.6;1.58
BR;Brasil;Mulheres;2012;Estrangulamento;308;0.3;0.29
BR;Brasil;Mulheres;2012;Força corporal;71;0.07;0.07
BR;Brasil;Mulheres;2012;Demais meios especificados;181;0.18;0.17
