Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2016;Necróticas e supurativas;806;0.395;0.438
BR;Brasil;Ambos;2016;Pleura;1456;0.714;0.808
BR;Brasil;Ambos;2016;Outras do aparelho respiratório;12164;5.966;6.839
BR;Brasil;Ambos;2017;Órgãos digestivos;71473;34.83;39.18
BR;Brasil;Ambos;2017;"Pulmão, traqueia e brônquios";27931;13.61;15.41
BR;Brasil;Ambos;2017;Mama feminina;16927;8.25;9.1
BR;Brasil;Ambos;2017;Próstata;15391;7.5;8.58
BR;Brasil;Ambos;2017;Colo de útero;6385;3.11;3.38
BR;Brasil;Ambos;2017;Demais localizações;79590;38.78;43.02
BR;Brasil;Ambos;2017;Isquêmicas do coração;115058;56.07;63.14
BR;Brasil;Ambos;2017;Cerebrovasculares;101195;49.31;55.64
BR;Brasil;Ambos;2017;Demais cardiovasculares;142629;69.5;78.17
BR;Brasil;Ambos;2017;Vias aéreas superiores;337;0.164;0.175
BR;Brasil;Ambos;2017;Crônicas das vias aéreas inferiores;48820;23.79;27.049
BR;Brasil;Ambos;2017;Pulmonares por agentes externos;5688;2.772;3.099
BR;Brasil;Ambos;2017;Interstício pulmonar;6672;3.251;3.601
BR;Brasil;Ambos;2017;Necróticas e supurativas;775;0.378;0.41
BR;Brasil;Ambos;2017;Pleura;1474;0.718;0.799
BR;Brasil;Ambos;2017;Outras do aparelho respiratório;10854;5.289;5.907
BR;Brasil;Ambos;2018;Órgãos digestivos;73987;35.82;39.27
BR;Brasil;Ambos;2018;"Pulmão, traqueia e brônquios";28720;13.91;15.33
BR;Brasil;Ambos;2018;Mama feminina;17763;8.6;9.29
BR;Brasil;Ambos;2018;Próstata;15576;7.54;8.37
BR;Brasil;Ambos;2018;Colo de útero;6526;3.16;3.37
BR;Brasil;Ambos;2018;Demais localizações;81185;39.31;42.63
BR;Brasil;Ambos;2018;Isquêmicas do coração;115321;55.84;61.24
BR;Brasil;Ambos;2018;Cerebrovasculares;99904;48.37;53.12
BR;Brasil;Ambos;2018;Demais cardiovasculares;142545;69.02;75.55
BR;Brasil;Ambos;2018;Vias aéreas superiores;296;0.143;0.151
BR;Brasil;Ambos;2018;Crônicas das vias aéreas inferiores;48125;23.302;25.733
BR;Brasil;Ambos;2018;Pulmonares por agentes externos;5715;2.767;3.007
BR;Brasil;Ambos;2018;Interstício pulmonar;6570;3.181;3.439
BR;Brasil;Ambos;2018;Necróticas e supurativas;731;0.354;0.376
BR;Brasil;Ambos;2018;Pleura;1493;0.723;0.785
BR;Brasil;Ambos;2018;Outras do aparelho respiratório;10662;5.162;5.615
BR;Brasil;Ambos;2019;Órgãos digestivos;76561;36.83;39.36
BR;Brasil;Ambos;2019;"Pulmão, traqueia e brônquios";29354;14.12;15.17
BR;Brasil;Ambos;2019;Mama feminina;18296;8.8;9.3
BR;Brasil;Ambos;2019;Próstata;15983;7.69;8.28
BR;Brasil;Ambos;2019;Colo de útero;6596;3.17;3.33
BR;Brasil;Ambos;2019;Demais localizações;84248;40.52;42.98
BR;Brasil;Ambos;2019;Isquêmicas do coração;117549;56.54;60.39
BR;Brasil;Ambos;2019;Cerebrovasculares;101074;48.62;51.96
BR;Brasil;Ambos;2019;Demais cardiovasculares;145509;69.99;74.59
BR;Brasil;Ambos;2019;Vias aéreas superiores;678;0.326;0.169
BR;Brasil;Ambos;2019;Crônicas das vias aéreas inferiores;99388;47.806;25.927
BR;Brasil;Ambos;2019;Pulmonares por agentes externos;13074;6.289;3.391
BR;Brasil;Ambos;2019;Interstício pulmonar;13528;6.507;3.464
BR;Brasil;Ambos;2019;Necróticas e supurativas;1572;0.756;0.395
BR;Brasil;Ambos;2019;Pleura;3014;1.45;0.775
BR;Brasil;Ambos;2019;Outras do aparelho respiratório;21784;10.478;5.634
BR;Brasil;Ambos;2020;Órgãos digestivos;74434;35.59;37.13
BR;Brasil;Ambos;2020;"Pulmão, traqueia e brônquios";28620;13.68;14.32
BR;Brasil;Ambos;2020;Mama feminina;18032;8.62;8.93
BR;Brasil;Ambos;2020;Próstata;15841;7.57;7.93
BR;Brasil;Ambos;2020;Colo de útero;6627;3.17;3.26
BR;Brasil;Ambos;2020;Demais localizações;81275;38.86;40.36
BR;Brasil;Ambos;2020;Isquêmicas do coração;109556;52.38;54.6
BR;Brasil;Ambos;2020;Cerebrovasculares;98843;47.26;49.27
BR;Brasil;Ambos;2020;Demais cardiovasculares;149342;71.4;74.32
BR;Brasil;Ambos;2020;Vias aéreas superiores;287;0.137;0.141
BR;Brasil;Ambos;2020;Crônicas das vias aéreas inferiores;39497;18.883;19.724
BR;Brasil;Ambos;2020;Pulmonares por agentes externos;6396;3.058;3.172
BR;Brasil;Ambos;2020;Interstício pulmonar;5869;2.806;2.907
BR;Brasil;Ambos;2020;Necróticas e supurativas;517;0.247;0.254
BR;Brasil;Ambos;2020;Pleura;1468;0.702;0.729
BR;Brasil;Ambos;2020;Outras do aparelho respiratório;25138;12.018;12.479
BR;Brasil;Ambos;2021;Órgãos digestivos;76177;36.26;37.05
BR;Brasil;Ambos;2021;"Pulmão, traqueia e brônquios";28967;13.79;14.12
BR;Brasil;Ambos;2021;Mama feminina;18361;8.74;8.9
BR;Brasil;Ambos;2021;Próstata;16301;7.76;7.95
BR;Brasil;Ambos;2021;Colo de útero;6606;3.14;3.19
BR;Brasil;Ambos;2021;Demais localizações;84352;40.15;40.92
BR;Brasil;Ambos;2021;Isquêmicas do coração;115689;55.06;56.23
BR;Brasil;Ambos;2021;Cerebrovasculares;103054;49.05;50.1
BR;Brasil;Ambos;2021;Demais cardiovasculares;163764;77.94;79.54
